path	width	height	mask
regions/binary/g01_g.tif	1223	1409	regions/binary/m01_m.tif
regions/binary/g01_y.tif	1223	1409	regions/binary/m01_m.tif
regions/binary/g02_g.tif	1127	1323	regions/binary/m02_m.tif
regions/binary/g02_y.tif	1127	1323	regions/binary/m02_m.tif
regions/binary/g03_g.tif	5521	3693	regions/binary/m03_m.tif
regions/binary/g03_y.tif	5521	3693	regions/binary/m03_m.tif
regions/binary/g04_g.tif	6553	4153	regions/binary/m04_m.tif
regions/binary/g04_y.tif	6553	4153	regions/binary/m04_m.tif
regions/binary/g05_g.tif	2885	2047	regions/binary/m05_m.tif
regions/binary/g05_y.tif	2885	2047	regions/binary/m05_m.tif
regions/binary/g06_b.tif	2449	1685	regions/binary/m06_m.tif
regions/binary/g06_g.tif	2449	1685	regions/binary/m06_m.tif
regions/binary/g07_g.tif	1821	1353	regions/binary/m07_m.tif
regions/binary/g07_y.tif	1821	1353	regions/binary/m07_m.tif
regions/binary/g08_g.tif	2409	1861	regions/binary/m08_m.tif
regions/binary/g08_y.tif	2409	1861	regions/binary/m08_m.tif
regions/binary/g09_g.tif	2355	1209	regions/binary/m09_m.tif
regions/binary/g09_y.tif	2355	1209	regions/binary/m09_m.tif
regions/binary/g10_g.tif	1375	1456	regions/binary/m10_m.tif
regions/binary/g10_y.tif	1375	1456	regions/binary/m10_m.tif
regions/binary/g11_g.tif	2617	1705	regions/binary/m11_m.tif
regions/binary/g11_y.tif	2617	1705	regions/binary/m11_m.tif
regions/binary/g12_g.tif	2989	1834	regions/binary/m12_m.tif
regions/binary/g12_y.tif	2989	1834	regions/binary/m12_m.tif
regions/binary/g13_g.tif	2989	2404	regions/binary/m13_m.tif
regions/binary/g13_y.tif	2989	2404	regions/binary/m13_m.tif
regions/binary/g14_g.tif	2583	1485	regions/binary/m14_m.tif
regions/binary/g14_y.tif	2583	1485	regions/binary/m14_m.tif
regions/binary/g15_g.tif	1665	1125	regions/binary/m15_m.tif
regions/binary/g15_y.tif	1665	1125	regions/binary/m15_m.tif
regions/binary/g16_g.tif	4649	1569	regions/binary/m16_m.tif
regions/binary/g16_y.tif	4649	1569	regions/binary/m16_m.tif
regions/binary/g17_g.tif	1633	2003	regions/binary/m17_m.tif
regions/binary/g17_y.tif	1633	2003	regions/binary/m17_m.tif
regions/binary/g18_g.tif	2505	2637	regions/binary/m18_m.tif
regions/binary/g18_y.tif	2505	2637	regions/binary/m18_m.tif
regions/binary/g19_g.tif	1513	2089	regions/binary/m19_m.tif
regions/binary/g19_y.tif	1513	2089	regions/binary/m19_m.tif
regions/binary/g20_g.tif	2065	1818	regions/binary/m20_m.tif
regions/binary/g20_y.tif	2065	1818	regions/binary/m20_m.tif
regions/binary/g21_g.tif	2385	1658	regions/binary/m21_m.tif
regions/binary/g21_y.tif	2385	1658	regions/binary/m21_m.tif
regions/binary/z19_01_g_1-1.tif	5564	4348	regions/binary/z19_01_m_1-1.tif
regions/binary/z19_01_g_1-2.tif	5564	4348	regions/binary/z19_01_m_1-2.tif
regions/binary/z19_01_g_2-1.tif	5564	4348	regions/binary/z19_01_m_2-1.tif
regions/binary/z19_01_g_2-2.tif	5564	4348	regions/binary/z19_01_m_2-2.tif
regions/binary/z19_01_y_1-1.tif	5564	4348	regions/binary/z19_01_m_1-1.tif
regions/binary/z19_01_y_1-2.tif	5564	4348	regions/binary/z19_01_m_1-2.tif
regions/binary/z19_01_y_2-1.tif	5564	4348	regions/binary/z19_01_m_2-1.tif
regions/binary/z19_01_y_2-2.tif	5564	4348	regions/binary/z19_01_m_2-2.tif
regions/binary/z19_02_g_1-1.tif	5601	5192	regions/binary/z19_02_m_1-1.tif
regions/binary/z19_02_g_1-2.tif	5601	5192	regions/binary/z19_02_m_1-2.tif
regions/binary/z19_02_y_1-1.tif	5601	5192	regions/binary/z19_02_m_1-1.tif
regions/binary/z19_02_y_1-2.tif	5601	5192	regions/binary/z19_02_m_1-2.tif
regions/binary/z20_02_g_1-1.tif	5600	5191	regions/binary/z20_02_m_1-1.tif
regions/binary/z20_02_g_1-2.tif	5600	5191	regions/binary/z20_02_m_1-2.tif
regions/binary/z20_02_g_1-3.tif	5600	5191	regions/binary/z20_02_m_1-3.tif
regions/binary/z20_02_g_1-4.tif	5600	5191	regions/binary/z20_02_m_1-4.tif
regions/binary/z20_02_g_2-1.tif	5600	5191	regions/binary/z20_02_m_2-1.tif
regions/binary/z20_02_g_2-2.tif	5600	5191	regions/binary/z20_02_m_2-2.tif
regions/binary/z20_02_g_2-3.tif	5600	5191	regions/binary/z20_02_m_2-3.tif
regions/binary/z20_02_g_2-4.tif	5600	5191	regions/binary/z20_02_m_2-4.tif
regions/binary/z20_02_y_1-1.tif	5600	5191	regions/binary/z20_02_m_1-1.tif
